comparator,pairs,ber_delta_reference_minus_comparator_mean,ber_delta_reference_minus_comparator_ci95_low,ber_delta_reference_minus_comparator_ci95_high,bit_nll_delta_reference_minus_comparator_mean,bit_nll_delta_reference_minus_comparator_ci95_low,bit_nll_delta_reference_minus_comparator_ci95_high,brier_delta_reference_minus_comparator_mean,brier_delta_reference_minus_comparator_ci95_low,brier_delta_reference_minus_comparator_ci95_high,ece_delta_reference_minus_comparator_mean,ece_delta_reference_minus_comparator_ci95_low,ece_delta_reference_minus_comparator_ci95_high,wrong_mean_abs_logit_delta_reference_minus_comparator_mean,wrong_mean_abs_logit_delta_reference_minus_comparator_ci95_low,wrong_mean_abs_logit_delta_reference_minus_comparator_ci95_high
diagonal_posterior,30,-0.004495804508527109,-0.004693340190526896,-0.004298268826527322,-0.004021263122558594,-0.00416050457046054,-0.0038820216746566485,-0.0017497425278027742,-0.0018198547414255532,-0.0016796303141799953,0.001017775790145003,0.0002348352236599988,0.0018007163566300074,0.0425298531850179,0.04097104156664677,0.044088664803389035
full_graph,30,-0.0005438903967539414,-0.0007333758065016998,-0.00035440498700618306,-0.00209311842918396,-0.002405661073832855,-0.0017805757845350645,-0.0007906332612037612,-0.000883603208130274,-0.0006976633142772484,-0.008659571626534053,-0.00942002641707395,-0.007899116835994157,-0.0459967831770579,-0.0498568247255278,-0.042136741628588006
graph_off,30,-0.013114570577939353,-0.013657544325888536,-0.012571596829990171,-0.01537582278251648,-0.01594880549269095,-0.014802840072342009,-0.006031361222267133,-0.006264478674452636,-0.005798243770081631,0.005714819394052029,0.00490538362250704,0.006524255165597018,0.0683931589126587,0.06101004120138136,0.07577627662393603
homoscedastic_posterior,30,-0.0043924212455749454,-0.0045781914317534235,-0.004206651059396467,-0.00407600998878479,-0.00423282045694354,-0.0039191995206260405,-0.0017095630367596805,-0.0017806774495235202,-0.0016384486239958407,0.0009064106581111733,0.00014631969206841376,0.0016665016241539329,0.03721041480700175,0.035966690490179073,0.03845413912382442
matched_posterior,30,0.002417293190956121,0.0021279496927824036,0.002706636689129839,0.002545475959777832,0.002225569985163598,0.002865381934392066,0.001022013525168101,0.000891738061261729,0.0011522889890744732,-0.00238156747072935,-0.0026266663337319368,-0.002136468607726763,-0.02191990613937378,-0.02300315985465073,-0.020836652424096828
mean_only_graph,30,-0.00014806588490803851,-0.0003030897117666815,6.957941950604465e-06,0.00036621292432149254,0.0002143369372324571,0.000518088911410528,0.00019972721735637966,0.00014327327176024373,0.0002561811629525156,0.0082809007105728,0.0073163529588537515,0.009245448462291847,0.05575066606203715,0.05287464872191393,0.05862668340216037
perfect_csi_lmmse,30,0.2612563173888096,0.24967527671303905,0.27283735806458015,0.46989386340913675,0.44048214593787577,0.4993055808803977,0.163492966076592,0.15459216815601962,0.17239376399716438,0.01479825639059223,0.012816506914096013,0.016780005867088447,-0.6664489269256592,-0.7021800092016948,-0.6307178446496235
perfect_csi_pic_iter1,30,0.07196421970923741,0.07098563890527033,0.0729428005132045,0.09760512709617618,0.09685361876717095,0.0983566354251814,0.03802852978308997,0.037701170124495795,0.03835588944168415,0.01487258014967665,0.013734086106484515,0.016011074192868784,-0.10149078170458475,-0.11157229895351878,-0.09140926445565073
perfect_csi_pic_iter2,30,0.13039400378863017,0.1291737099072742,0.13161429766998614,0.18016760150591535,0.17798576249160208,0.1823494405202286,0.07112337301174801,0.07016149896514189,0.07208524705835413,-0.0003723048915465636,-0.0015620034689549085,0.0008173936858617815,-0.4782533327738444,-0.5034559717000993,-0.4530506938475895
perfect_csi_pic_iter3,30,0.16266253739595413,0.1600630315035932,0.16526204328831506,0.15029089748859406,0.13913398206126662,0.1614478129159215,0.08657723491390547,0.08505079924551363,0.0881036705822973,-0.03641531799609463,-0.038791506741170295,-0.03403912925101897,-1.6486292719841003,-1.8402408756035977,-1.4570176683646028
perfect_csi_pic_iter4,30,0.1640939250588417,0.16080441646662913,0.1673834336510543,-0.212319345275561,-0.3245556178812938,-0.10008307266982823,0.0796454891562462,0.07819934144999097,0.08109163686250143,-0.06270204642787576,-0.06725143965735056,-0.05815265319840096,-4.919589606920878,-6.023646090481458,-3.8155331233602987
