case,ebno_db,rep,eval_seed,transport_blocks,trained_block_errors,ls_block_errors,trained_only_errors,ls_only_errors,both_errors,both_correct,trained_minus_ls_batch_tbler
confirmation_umi_12prb_cell211,6.0,0,2036091501,256,1,0,1,0,0,255,0.00390625
confirmation_umi_12prb_cell211,6.0,1,2036091502,256,8,7,1,0,7,248,0.00390625
confirmation_umi_12prb_cell211,6.0,2,2036091503,256,5,5,0,0,5,251,0.0
confirmation_umi_12prb_cell211,6.0,3,2036091504,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,6.0,4,2036091505,256,3,3,0,0,3,253,0.0
confirmation_umi_12prb_cell211,6.0,5,2036091506,256,1,1,1,1,0,254,0.0
confirmation_umi_12prb_cell211,6.0,6,2036091507,256,0,1,0,1,0,255,-0.00390625
confirmation_umi_12prb_cell211,6.0,7,2036091508,256,1,4,0,3,1,252,-0.01171875
confirmation_umi_12prb_cell211,6.0,8,2036091509,256,4,5,0,1,4,251,-0.00390625
confirmation_umi_12prb_cell211,6.0,9,2036091510,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,6.0,10,2036091511,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,6.0,11,2036091512,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,6.0,12,2036091513,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,6.0,13,2036091514,256,0,1,0,1,0,255,-0.00390625
confirmation_umi_12prb_cell211,6.0,14,2036091515,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,6.0,15,2036091516,256,1,2,0,1,1,254,-0.00390625
confirmation_umi_12prb_cell211,6.0,16,2036091517,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,6.0,17,2036091518,256,5,7,0,2,5,249,-0.0078125
confirmation_umi_12prb_cell211,6.0,18,2036091519,256,5,4,1,0,4,251,0.00390625
confirmation_umi_12prb_cell211,6.0,19,2036091520,256,0,1,0,1,0,255,-0.00390625
confirmation_umi_12prb_cell211,6.0,20,2036091521,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell211,6.0,21,2036091522,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell211,6.0,22,2036091523,256,3,4,1,2,2,251,-0.00390625
confirmation_umi_12prb_cell211,6.0,23,2036091524,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,6.0,24,2036091525,256,5,5,0,0,5,251,0.0
